"StateName","DistrictName","BlockName"
"TAMILNADU","TIRUNELVELI","VALLIYOOR"
"MAHARASHTRA","SOLAPUR","0   "
"MAHARASHTRA","LATUR","0   "
"MAHARASHTRA","AKOLA","0   "
"MAHARASHTRA","AMRAVATI","0   "
"MAHARASHTRA","WASHIM","0   "
"MAHARASHTRA","AHMADNAGAR","0   "
"KARNATAKA","GULBARGA","0   "
"KARNATAKA","KODAGU","0   "
"KARNATAKA","KOLAR","0   "
"KARNATAKA","MYSORE","0   "
"KARNATAKA","TUMKUR","0   "
"KARNATAKA","BELGAUM","0   "
"KARNATAKA","BANGALORE RURAL","0   "
"KARNATAKA","CHAMARAJANAGAR","0   "
"KARNATAKA","DAVANAGERE","0   "
"KARNATAKA","HAVERI","0   "
"KARNATAKA","CHITRADURGA","0   "
"TAMILNADU","NAGAPATTINAM","0   "
"TAMILNADU","ARIYALUR","0   "
"TAMILNADU","ERODE","0   "
"TAMILNADU","RAMANATHAPURAM","0   "
"TAMILNADU","CUDDALORE","0   "
"TAMILNADU","PERAMBALUR","0   "
"TAMILNADU","VILLUPPURAM","0   "
"TAMILNADU","SIVAGANGA","0   "
"TAMILNADU","TIRUVANNAMALAI","CHENGAM"
"TAMILNADU","THOOTHUKUDI","0   "
"TAMILNADU","VELLORE","0   "
"TAMILNADU","SALEM","ATTUR"
"TAMILNADU","PUDUKKOTTAI","0   "
"UTTAR PRADESH","BADAUN","0   "
"UTTAR PRADESH","MORADABAD","ASMAULI"
"UTTAR PRADESH","MUZAFFARNAGAR","0   "
"UTTAR PRADESH","KANPUR CITY","0   "
"UTTAR PRADESH","ALLAHABAD","0   "
"UTTAR PRADESH","DEORIA","0   "
"UTTAR PRADESH","SITAPUR","0   "
"UTTAR PRADESH","FIROZABAD","0   "
"UTTAR PRADESH","SONBHADRA","0   "
"SIKKIM","NORTH DISTRICT","0   "
"SIKKIM","EAST DISTRICT","0   "
"SIKKIM","SOUTH DISTRICT","0   "
"TAMILNADU","CUDDALORE","CUDDALORE"
"TAMILNADU","DINDIGUL","DINDIGUL"
"TAMILNADU","TIRUVANNAMALAI","0   "
"TAMILNADU","KRISHNAGIRI","0   "
"TAMILNADU","SALEM","SALEM"
"TAMILNADU","SALEM","KONGANAPURAM"
"TAMILNADU","ERODE","ERODE"
"TAMILNADU","TIRUCHIRAPPALLI","0   "
"TAMILNADU","VELLORE","ANAICUT"
"TAMILNADU","COIMBATORE","0   "
"MADHYA PRADESH","SAGAR","0   "
"MADHYA PRADESH","CHHINDWARA","0   "
"MADHYA PRADESH","SEONI","0   "
"MADHYA PRADESH","BHIND","0   "
"MADHYA PRADESH","DAMOH","0   "
"MADHYA PRADESH","GWALIOR","0   "
"MADHYA PRADESH","SHIVPURI","0   "
"MADHYA PRADESH","GUNA","0   "
"MADHYA PRADESH","VIDISHA","0   "
"MADHYA PRADESH","MORENA","0   "
"MADHYA PRADESH","SHAJAPUR","0   "
"MADHYA PRADESH","RATLAM","0   "
"MADHYA PRADESH","MANDSAUR","0   "
"MADHYA PRADESH","JABALPUR","0   "
"MADHYA PRADESH","DEWAS","0   "
"MADHYA PRADESH","INDORE","0   "
"MADHYA PRADESH","WEST NIMAR","0   "
"MADHYA PRADESH","DHAR","0   "
"MADHYA PRADESH","JHABUA","0   "
